DTXSID,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,PXR_Emax,PXR_assay
DTXSID0025078,2107-76-8,C10H8O4,192.042259,Inactive,0,0
DTXSID0025101,99-07-0,C8H11NO,137.084064,Active,58.11653949,0.778413812
DTXSID0025234,17372-87-1,C20H6Br4Na2O5,687.674414,Inactive,0,0
DTXSID0025286,110-71-4,C4H10O2,90.06808,Inactive,0,0
DTXSID0025315,92-59-1,C15H17N,211.1361,Inactive,0,0
DTXSID0025361,106-91-2,C7H10O3,142.062994,Inactive,0,0
DTXSID0025363,79-14-1,C2H4O3,76.016044,Inactive,0,0
DTXSID0025367,1455-77-2,C2H5N5,99.054495,Inactive,0,0
DTXSID0025440,56-18-8,C6H17N3,131.142248,Inactive,0,0
DTXSID0025492,112-52-7,C12H25Cl,204.164479,Inactive,0,0
DTXSID0025494,2461-18-9,C15H30O2,242.22458,Inactive,0,0
DTXSID0025523,118-71-8,C6H6O3,126.031694,Inactive,0,0
DTXSID0025527,71-58-9,C24H34O4,386.24571,Active,33.27489691,2.336859312
DTXSID0025571,608-25-3,C7H8O2,124.052429,Inactive,0,0
DTXSID0025577,4403-61-6,C5H7N,81.057849,Inactive,0,0
DTXSID0025600,7220-79-3,C16H24ClN3O3S,373.12269,Active,22.69026953,2.782537289
DTXSID0025604,637-92-3,C6H14O,102.104465,Inactive,0,0
DTXSID0025654,2381-21-7,C17H12,216.0939,Active,38.03963547,0.778413812
DTXSID0025733,610-15-1,C7H6N2O3,166.037842,Inactive,0,0
DTXSID0025737,121-92-6,C7H5NO4,167.021858,Inactive,0,0
DTXSID0025789,102-96-5,C8H7NO2,149.047678,Active,143.6545306,1.016985197
DTXSID0025812,500-66-3,C11H16O2,180.11503,Active,86.09298976,0.753156438
DTXSID0025814,65-86-1,C5H4N2O4,156.017107,Inactive,0,0
DTXSID0025816,144-62-7,C2H2O4,89.995309,Inactive,0,0
DTXSID0025818,126-27-2,C28H41N3O3,467.314792,Active,69.41876736,2.063686431
DTXSID0025862,621-33-0,C8H11NO,137.084064,Inactive,0,0
DTXSID0025864,156-43-4,C8H11NO,137.084064,Inactive,0,0
DTXSID0025866,132-20-7,C20H24N2O4,356.173607,Inactive,0,0
DTXSID0025991,104-91-6,C6H5NO2,123.032028,Inactive,0,0
DTXSID0025997,472-86-6,C20H28O,284.214016,Active,183.6538331,0.726518008
DTXSID0026040,11099-03-9,C8H19ClN2O,194.118591,Active,38.86886243,2.059381208
DTXSID0026098,117-18-0,C6HCl4NO2,258.876139,Inactive,0,0
DTXSID0026125,3333-52-6,C8H12N2,136.100048,Inactive,0,0
DTXSID0026171,29385-43-1,C7H7N3,133.063997,Inactive,0,0
DTXSID0026175,1025-15-6,C12H15N3O3,249.111341,Inactive,0,0
DTXSID0026202,17700-09-3,C6H2Cl3NO2,224.915111,Inactive,0,0
DTXSID0026204,18708-70-8,C6H2Cl3NO2,224.915111,Inactive,0,0
DTXSID0026208,933-78-8,C6H3Cl3O,195.924948,Active,98.02344338,0.593301763
DTXSID0026252,101-02-0,C18H15O3P,310.075881,Inactive,0,0
DTXSID0026258,140-08-9,C6H12Cl3O3P,267.958964,Inactive,0,0
DTXSID0026339,1959/2/9,C29H50O2,430.381081,Inactive,0,0
DTXSID0026418,75-66-1,C4H10S,90.050321,Inactive,0,0
DTXSID0026547,90-51-7,C10H9NO4S,239.025229,Active,34.59264645,1.288047053
DTXSID0026549,90-80-2,C6H10O6,178.047738,Inactive,0,0
DTXSID0026676,101-63-3,C12H8N2O5,260.043321,Inactive,0,0
