CASRN,DTXSID,Name,Formula,PPARg_Emax,PPARg_assay,LXR_Emax,LXR_assay,FXR_Emax,FXR_assay,PXR_Emax,PXR_assay,BCF,LogP,Predicted concentration in human blood (μM),
6/9/1951,DTXSID7023512,Procainamide,C13H21N3O,0,0,,,0,0,0,0,3.04789,0.881376,5.25E-05,
671-16-9,DTXSID4021189,Procarbazine,C12H19N3O,0,0,0,0,0,0,33.56937223,0.779413613,2.80543,0.0609049,9.65E-05,
72332-33-3,DTXSID5045673,Procaterol,C16H22N2O3,0,0,,,0,0,0,0, , ,6.29E-05,
57132-53-3,DTXSID0048842,Proglumetacin,C46H58ClN5O8,0,0,,,29.90095368,0.735545742,138.3412064,1.334845282, ,5.66618,0.00107,
6620-60-6,DTXSID7023516,Proglumide,C18H26N2O4,0,0,,,0,0,0,0,0.803526,0.565057,0.00589,
60-87-7,DTXSID7023518,Promethazine,C17H20N2S,0,0,,,0,0,47.95998961,1.033686317, ,4.81047,0.00135,
1610-18-0,DTXSID6022341,Prometon,C10H19N5O,0,0,0,0,0,0,51.8094522,0.771459375,7.8886,2.99119,6.96E-05,
7287-19-6,DTXSID4024272,Prometryn,C10H19N5S,0,0,0,0,0,0,80.6622138,1.046735168,9.35406,3.51124,0.000148,
54-80-8,DTXSID8021193,Pronethalol,C15H19NO,0,0,,,0,0,0,0,27.227,2.99799,0.00557,
1918-16-7,DTXSID4024274,Propachlor,C11H14ClNO,0,0,0,0,0,0,0,0,20.797,2.18155,3.99E-05,
54063-53-5,DTXSID9045184,Propafenone,C21H27NO3,0,0,,,0,0,34.22278733,1.360567695,10.1391,3.3337,4.90E-05,
709-98-8,DTXSID8022111,Propanil,C9H9Cl2NO,0,0,0,0,0,0,38.59914627,0.662594722,16.9824,3.07062,0.000181,
2312-35-8,DTXSID4024276,Propargite,C19H26O4S,0,0,0,0,30.08279562,0.497940009,71.46104911,1.688074619, ,4.99861,0.00142,
139-40-2,DTXSID3021196,Propazine,C9H16ClN5,0,0,0,0,0,0,46.04895511,1.060374271,13.3352,2.93139,0.00241,
55242-55-2,DTXSID4045189,"3,7-Dihydro-3-methyl-1-(5-oxohexyl)-7-propyl-1H-Purine-2,6-dione",C15H22N4O3,0,0,,,0,0,0,0,7.87046,1.04447,0.000109,
2078-54-8,DTXSID6023523,Propofol,C12H18O,0,0,0,0,0,0,93.49857184,1.011852859,139.316,3.79056,0.00185,
114-26-1,DTXSID7021948,Propoxur,C11H15NO3,0,0,0,0,0,0,0,0,4.9545,1.52408,0.000123,
121-79-9,DTXSID5021201,Propyl gallate,C10H12O5,0,0,0,0,0,0,43.27434711,0.873218047,2.19786,1.80012,0.000196,
51-52-5,DTXSID5021209,6-Propyl-2-thiouracil,C7H10N2OS,0,0,0,0,0,0,0,0,0.928966,-0.385872,0.00475,
59-58-5,DTXSID1046633,Prosultiamine,C15H24N4O2S2,0,0,,,0,0,44.60961884,0.829533232,2.22844,3.27425,0.00151,
2491-38-5,DTXSID4034576,2-Bromo-4-hydroxyacetophenone,C8H7BrO2,0,0,0,0,0,0,0,0,7.74462,2.57146,0.000164,
14222-60-7,DTXSID7045940,Prothionamide,C9H12N2S,0,0,,,0,0,0,0, ,1.06628,3.96E-05,
603-00-9,DTXSID5023536,Proxyphylline,C10H14N4O3,0,0,,,0,0,0,0,2.43781,-0.769132,0.00207,
520-53-6,DTXSID5048899,Psilocin,C12H16N2O,0,0,,,0,0,0,0,8.43335,1.2694,7.23E-05,
1882-26-4,DTXSID5045708,Pyricarbate,C11H15N3O4,,,,,,,,,0.682339,0.241013,0.000338,
