DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,LXR_Emax,LXR_assay
DTXSID0042167,Monopotassium phthalate,877-24-7,C8H5KO4,203.98249,Inactive,0,0
DTXSID0042169,Monotridecyl phosphate,5116-94-9,C13H29O4P,280.180346,Inactive,0,0
DTXSID0042242,2-Ethylaniline,578-54-1,C8H11N,121.089149,Inactive,0,0
DTXSID0042248,"4,4'-Methylenebis(N,N-diglycidylaniline)",28768-32-3,C25H30N2O4,422.220557,Active,1.390080429,1.36134038
DTXSID0042325,4-Propylanisole,104-45-0,C10H14O,150.104465,Inactive,0,0
DTXSID0042327,Dipropylene glycol dimethyl ether,111109-77-4,, ,Inactive,0,0
DTXSID0042379,Dimethoxydimethylsilane,1112-39-6,C4H12O2Si,120.060656,Inactive,0,0
DTXSID0042400,Sodium hexyldecyl sulfate,1120-01-0,C16H33NaO4S,344.199725,Active,1.764187336,1.225315558
DTXSID0042406,Sodium methyl sulfate,512-42-5,CH3NaO4S,133.964974,Inactive,0,0
DTXSID0042454,"(+/-)-2,3-Dihydroxypropyl tetradecanoate",589-68-4,C17H34O4,302.24571,Inactive,0,0
