PREFERRED NAME,DTXSID,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,PPARg_antagonist_ch1,PPARg_Emax,PPARg_assay
Nitrendipine,DTXSID0023373,39562-70-4,C18H20N2O6,360.132136,Inactive,0,0
Nomifensine,DTXSID0023377,24526-64-5,C16H18N2,238.146999,Inactive,0,0
Phenoxybenzamine,DTXSID0023458,59-96-1,C18H22ClNO,303.138992,Inactive,0,0
Simvastatin,DTXSID0023581,79902-63-9,C25H38O5,418.271924,Inactive,0,0
Sorbinil,DTXSID0023587,68367-52-2,C11H9FN2O3,236.05972,Inactive,0,0
Sulfamerazine,DTXSID0023612,127-79-7,C11H12N4O2S,264.068097,Inactive,0,0
Sulfamethomidine,DTXSID0023616,3772-76-7,C12H14N4O3S,294.078662,Inactive,0,0
Sulfinpyrazone,DTXSID0023618,57-96-5,C23H20N2O3S,404.119464,Inactive,0,0
Thiphenamil,DTXSID0023660,82-99-5,C20H25NOS,327.165686,Inactive,0,0
D-Xylose,DTXSID0023745,58-86-6,C5H10O5,150.052823,Inactive,0,0
"2',3'-Dideoxycytidine",DTXSID0023747,7481-89-2,C9H13N3O3,211.095691,Inactive,0,0
Zanamivir,DTXSID0023749,139110-80-8,C12H20N4O7,332.133199,Inactive,0,0
Isophorone diisocyanate,DTXSID0023826,4098-71-9,C12H18N2O2,222.136828,Inactive,0,0
4-Aminopyridine,DTXSID0023870,504-24-5,C5H6N2,94.053098,Inactive,0,0
Anthracene,DTXSID0023878,120-12-7,C14H10,178.07825,Inactive,0,0
Bentazone,DTXSID0023901,25057-89-0,C10H12N2O3S,240.056863,Inactive,0,0
Benzo(b)fluoranthene,DTXSID0023907,205-99-2,C20H12,252.0939,Active,64.88744655,1.201257457
Benzo[k]fluoranthene,DTXSID0023909,207-08-9,C20H12,252.0939,Active,109.1818366,1.537384623
Carboxin,DTXSID0023951,5234-68-4,C12H13NO2S,235.0667,Inactive,0,0
Chlorthal-dimethyl,DTXSID0024000,1861-32-1,C10H6Cl4O4,329.902019,Inactive,0,0
Fenpropathrin,DTXSID0024002,39515-41-8,C22H23NO3,349.167794,Inactive,0,0
Dimethipin,DTXSID0024052,55290-64-7,C6H10O4S2,210.002051,Inactive,0,0
Methyl acrylate,DTXSID0024183,96-33-3,C4H6O2,86.036779,Inactive,0,0
Methyl chlorocarbonate,DTXSID0024185,79-22-1,C2H3ClO2,93.982157,Inactive,0,0
