INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	IUPAC_NAME	DTXCID	INCHIKEY	SMILES	BIOCONCENTRATION_FACTOR	LOGP
DTXSID9023205	DSSTox_Substance_Id	DTXSID9023205	Levallorphan	152-02-3	17-(Prop-2-en-1-yl)morphinan-3-ol	DTXCID703205	OZYUPQUCAUTOBP-QXAKKESOSA-N	OC1=CC2=C(C[C@@H]3[C@@H]4CCCC[C@]24CCN3CC=C)C=C1	137.404	3.48138
DTXSID7048908	DSSTox_Substance_Id	DTXSID7048908	Dihydromorphine	509-60-4	"17-Methyl-5alpha-4,5-epoxymorphinan-3,6alpha-diol"	DTXCID4028834	IJVCSMSMFSCRME-KBQPJGBKSA-N	CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@H]2CC[C@@H]4O)=C35	53.827	1.38529
DTXSID8046113	DSSTox_Substance_Id	DTXSID8046113	Crotoniazide	7007-96-7	N'-(But-2-en-1-ylidene)pyridine-4-carbohydrazide	DTXCID6026113	YLWYNCPRXFCNLQ-UHFFFAOYSA-N	CC=CC=NNC(=O)C1=CC=NC=C1	 	1.52522
DTXSID3025209	DSSTox_Substance_Id	DTXSID3025209	C.I. Disperse Blue 27	15791-78-3	"1,8-Dihydroxy-4-[4-(2-hydroxyethyl)anilino]-5-nitroanthracene-9,10-dione"	DTXCID505209	VOCYGZAHYQXJOF-UHFFFAOYSA-N	OCCC1=CC=C(NC2=CC=C(O)C3=C2C(=O)C2=C(C=CC(O)=C2C3=O)[N+]([O-])=O)C=C1	6.23735	3.45827
DTXSID4046313	DSSTox_Substance_Id	DTXSID4046313	Naltrexone	16590-41-3	"17-(Cyclopropylmethyl)-3,14-dihydroxy-5alpha-4,5-epoxymorphinan-6-one"	DTXCID2026313	DQCKKXVULJGBQN-XFWGSAIBSA-N	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O	34.8337	1.91901
DTXSID3020621	DSSTox_Substance_Id	DTXSID3020621	"(R,R)-Fenvalerate"	67614-33-9	(R)-Cyano(3-phenoxyphenyl)methyl (2R)-2-(4-chlorophenyl)-3-methylbutanoate	DTXCID201475882	NYPJDWWKZLNGGM-BJKOFHAPSA-N	CC(C)[C@@H](C(=O)O[C@@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(Cl)C=C1	 	6.1996
DTXSID7022754	DSSTox_Substance_Id	DTXSID7022754	Cefixime	79350-37-1	"(6R,7R)-7-({(2Z)-2-(2-Amino-1,3-thiazol-4-yl)-2-[(carboxymethoxy)imino]acetyl}amino)-3-ethenyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid"	DTXCID501508494	OKBVVJOGVLARMR-QSWIMTSFSA-N	NC1=NC(=CS1)C(=N\OCC(O)=O)\C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O	 	 
DTXSID8023551	DSSTox_Substance_Id	DTXSID8023551	Ramipril	87333-19-5	"(2S,3aS,6aS)-1-[(2S)-2-{[(2S)-1-Ethoxy-1-oxo-4-phenylbutan-2-yl]amino}propanoyl]octahydrocyclopenta[b]pyrrole-2-carboxylic acid"	DTXCID203551	HDACQVRGBOVJII-JBDAPHQKSA-N	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1[C@H]2CCC[C@H]2C[C@H]1C(O)=O	2.71019	2.00735
DTXSID6047286	DSSTox_Substance_Id	DTXSID6047286	Candoxatril	123122-55-4	"(1R,4s)-4-[(1-{(2S)-3-[(2,3-Dihydro-1H-inden-5-yl)oxy]-2-[(2-methoxyethoxy)methyl]-3-oxopropyl}cyclopentane-1-carbonyl)amino]cyclohexane-1-carboxylic acid"	DTXCID4027286	ZTWZVMIYIIVABD-OEMFJLHTSA-N	COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]1CC[C@H](CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1	1.2218	3.85639
DTXSID1047156	DSSTox_Substance_Id	DTXSID1047156	"2-(2-Butyl)-4,5-dimethyl-3-thiazoline"	65894-82-8	"2-(Butan-2-yl)-4,5-dimethyl-2,5-dihydro-1,3-thiazole"	DTXCID9027156	FLBOQJFNAYJWIA-UHFFFAOYSA-N	CCC(C)C1SC(C)C(C)=N1	68.7068	3.39835
DTXSID5041514	DSSTox_Substance_Id	DTXSID5041514	(4Z)-4-Decenal	21662-09-9	(4Z)-Dec-4-enal	DTXCID3021514	CWRKZMLUDFBPAO-SREVYHEPSA-N	CCCCC\C=C/CCC=O	 	3.54084
DTXSID0047587	DSSTox_Substance_Id	DTXSID0047587	(6Z)-Non-6-en-1-ol	35854-86-5	(6Z)-Non-6-en-1-ol	DTXCID8027587	XJHRZBIBSSVCEL-ARJAWSKDSA-N	CC\C=C/CCCCCO	74.6449	3.12829
DTXSID7047192	DSSTox_Substance_Id	DTXSID7047192	"trans-2,cis-6-Nonadien-1-ol"	28069-72-9	"(2E,6Z)-Nona-2,6-dien-1-ol"	DTXCID5027192	AMXYRHBJZOVHOL-ODYTWBPASA-N	CC\C=C/CC\C=C\CO	62.3735	3.01258
DTXSID3047633	DSSTox_Substance_Id	DTXSID3047633	Ethyl oleate	111-62-6	Ethyl (9Z)-octadec-9-enoate	DTXCID1027633	LVGKNOAMLMIIKO-QXMHVHEDSA-N	CCCCCCCC\C=C/CCCCCCCC(=O)OCC	59.5662	7.96125
DTXSID0041484	DSSTox_Substance_Id	DTXSID0041484	(3Z)-3-Hexenyl acetate	3681-71-8	(3Z)-Hex-3-en-1-yl acetate	DTXCID8021484	NPFVOOAXDOBMCE-PLNGDYQASA-N	CC\C=C/CCOC(C)=O	17.0216	2.58187
DTXSID1032303	DSSTox_Substance_Id	DTXSID1032303	(Z)-11-Hexadecenal	53939-28-9	(11Z)-Hexadec-11-enal	DTXCID9012303	AMTITFMUKRZZEE-WAYWQWQTSA-N	CCCC\C=C/CCCCCCCCCC=O	 	6.72812
DTXSID5025811	DSSTox_Substance_Id	DTXSID5025811	Methyl (9E)-octadec-9-enoate	112-62-9	Methyl (9Z)-octadec-9-enoate	DTXCID805811	QYDYPVFESGNLHU-KHPPLWFESA-N	CCCCCCCC\C=C/CCCCCCCC(=O)OC	89.1251	7.45061
DTXSID6047579	DSSTox_Substance_Id	DTXSID6047579	(3Z)-Hex-3-en-1-yl propanoate	33467-74-2	(3Z)-Hex-3-en-1-yl propanoate	DTXCID4027579	LGTLDEUQCOJGFP-WAYWQWQTSA-N	CC\C=C/CCOC(=O)CC	17.378	2.90243
DTXSID2027094	DSSTox_Substance_Id	DTXSID2027094	Bis(2-ethylhexyl) maleate	142-16-5	Bis(2-ethylhexyl) (2Z)-but-2-enedioate	DTXCID007094	ROPXFXOUUANXRR-YPKPFQOOSA-N	CCCCC(CC)COC(=O)\C=C/C(=O)OCC(CC)CCCC	 	6.1779
DTXSID8046820	DSSTox_Substance_Id	DTXSID8046820	"Ethyl 9,12-octadecadienoic acid (9E,12E)"	6114-21-2	"Ethyl (9E,12E)-octadeca-9,12-dienoate"	DTXCID50210157	FMMOOAYVCKXGMF-MVKOLZDDSA-N	CCCCC\C=C\C\C=C\CCCCCCCC(=O)OCC	 	7.25032
DTXSID4035592	DSSTox_Substance_Id	DTXSID4035592	(E)-4-Tridecen-l-yl acetate	72269-48-8	(4E)-Tridec-4-en-1-yl acetate	DTXCID2015592	DUCVQKMNGSZPAV-ZHACJKMWSA-N	CCCCCCCC\C=C\CCCOC(C)=O	71.2853	6.01773
DTXSID4047418	DSSTox_Substance_Id	DTXSID4047418	Acetaldehyde ethyl cis-3-hexenyl acetal	28069-74-1	(3Z)-1-(1-Ethoxyethoxy)hex-3-ene	DTXCID2027418	PAEBAEDUARAOSG-SREVYHEPSA-N	CCOC(C)OCC\C=C/CC	34.8337	2.58727
DTXSID8032627	DSSTox_Substance_Id	DTXSID8032627	Methoprene	40596-69-8	"Propan-2-yl (2E,4E)-11-methoxy-3,7,11-trimethyldodeca-2,4-dienoate"	DTXCID6012627	NFGXHKASABOEEW-LDRANXPESA-N	COC(C)(C)CCCC(C)C\C=C\C(\C)=C\C(=O)OC(C)C	 	5.5028
