DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024397,Acetoacetanilide,102-01-2,C10H11NO2,177.078979,5,323,2.0,Inactive,-0.3759112591333932,-0.6355787988285324,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024399,Acetoin,513-86-0,C4H8O2,88.052429,1,320,0.0,Inactive,-0.11221640539332818,-0.1897319285226257,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024553,Azodicarbonamide,123-77-3,C2H4N4O2,116.033425,5,348,1.0,Inactive,-0.29214870532753495,-0.4939557374244415,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024761,3-Chloroaniline,108-42-9,C6H6ClN,127.018877,7,321,2.0,Inactive,0.2464474549289106,0.416685517053063,19.84251462648288,1.2975967091086276
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025361,Glycidyl methacrylate,106-91-2,C7H10O3,142.062994,2,319,1.0,Inactive,-0.27578487596073264,-0.46628829528087795,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025363,Glycolic acid,79-14-1,C2H4O3,76.016044,3,347,1.0,Inactive,0.07168922502166206,0.12120986116047079,0.009000000193577218,-2.0457574812196175
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025101,3-Dimethylaminophenol,99-07-0,C8H11NO,137.084064,35,351,10.0,Inactive,0.10007340015150057,0.16920092154092028,0.8347551191004408,-0.07844090897289456
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025234,Eosin,17372-87-1,C20H6Br4Na2O5,687.674414,91,360,25.0,Inactive,0.0013465004621534935,0.002276620147878826,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024890,p-Cymen-8-ol,1197-01-9,C10H14O,150.104465,3,328,1.0,Inactive,-0.13725164907815396,-0.23206072214871604,0.08000000042469804,-1.0969100107025063
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025492,1-Chlorododecane,112-52-7,C12H25Cl,204.164479,18,316,6.0,Inactive,-0.03669223921561885,-0.062038070848834954,100,2
